variant,iter,decision_to_signed_anchor_ms
A,1,27
A,2,26
A,3,25
A,4,25
A,5,28
A,6,28
A,7,27
A,8,27
A,9,27
A,10,26
A,11,27
A,12,27
A,13,27
A,14,28
A,15,26
A,16,52
A,17,29
A,18,27
A,19,27
A,20,27
B-tls-hash,1,3371
B-tls-hash,2,3395
B-tls-hash,3,2282
B-tls-hash,4,4226
B-tls-hash,5,3349
B-tls-hash,6,2397
B-tls-hash,7,3341
B-tls-hash,8,3362
B-tls-hash,9,3280
B-tls-hash,10,3323
B-tls-hash,11,3312
B-tls-hash,12,3350
B-tls-hash,13,3306
B-tls-hash,14,3301
B-tls-hash,15,3284
B-tls-hash,16,92
B-tls-hash,17,3309
B-tls-hash,18,3302
B-tls-hash,19,3318
B-tls-hash,20,54
